instance_no,L2_value,drop_value,loss
378,2.95E-05,0.131969421,0.63716923
379,3.19E-06,0.023631226,0.637305877
380,0.000311416,0.141627402,0.638264427
381,1.23E-06,0.257794318,0.639374745
382,0.000452166,0.12996685,0.642694974
383,0.000287687,0.091889877,0.644906345
384,1.87E-06,0.173052196,0.636740285
385,5.03E-06,0.291247926,0.637108496
386,7.94E-05,0.305865556,0.642587498
387,0.000325674,0.142419406,0.648007038
388,0.000270987,0.410133916,0.644132593
389,5.47E-05,0.254943843,0.637288249
390,9.34E-06,0.214373651,0.640948775
391,5.08E-05,0.361789661,0.638290763
392,0.000196775,0.496609549,0.639819109
393,1.52E-05,0.46948771,0.637584159
394,3.13E-06,0.305256428,0.639274228
395,8.98E-06,0.360773662,0.638542596
396,1.06E-05,0.164877787,0.640243772
397,4.21E-05,0.398158149,0.635925832
398,3.93E-06,0.298385822,0.639566335
399,5.04E-06,0.406080532,0.638870585
400,0.00012885,0.008594322,0.638241634
401,2.97E-05,0.226281206,0.641096386
402,1.56E-06,0.425645088,0.636863396
403,4.54E-06,0.300967429,0.636037615
404,3.68E-06,0.322077217,0.641353822
405,1.61E-06,0.297487193,0.635130903
406,2.34E-06,0.269349619,0.640284809
407,9.05E-06,0.095446748,0.641581705
408,0.000230908,0.472510038,0.638844904
409,1.63E-06,0.277224561,0.647787532
410,3.44E-05,0.308551381,0.639945623
411,1.30E-06,0.229597718,0.644743317
412,1.07E-05,0.420480091,0.63612192
413,1.65E-06,0.309783652,0.637309226
414,8.36E-05,0.188780352,0.636378506
415,0.000203288,0.113985519,0.641653547
416,4.44E-05,0.259928717,0.644636804
417,0.000715748,0.045890576,0.639856336
418,9.90E-06,0.215068368,0.644299418
419,3.21E-05,0.027893726,0.645829949
420,2.33E-05,0.22947686,0.642393994
421,1.88E-06,0.120418984,0.642911687
422,8.85E-05,0.405228224,0.642991737
423,1.92E-05,0.461910744,0.645084408
424,0.000744077,0.022893527,0.640176865
425,1.65E-06,0.066432319,0.644942522
426,0.000707543,0.379953412,0.642560875
427,1.34E-05,0.170282403,0.644620836
428,1.69E-05,0.126010262,0.644414297
429,1.28E-05,0.187796424,0.646262103
430,1.40E-05,0.23219506,0.648848057
431,1.25E-05,0.438290274,0.639244196
432,8.53E-06,0.497966811,0.646671426
433,2.95E-05,0.200936669,0.641404819
434,0.000171131,0.001993403,0.644969788
435,4.95E-05,0.137970952,0.638149947
436,3.46E-05,0.080762814,0.641674012
437,0.000201253,0.206820771,0.638763639
438,7.36E-05,0.34964885,0.644371155
439,4.67E-05,0.341310286,0.651186702
440,0.001609321,0.495284564,0.644100273
441,4.34E-05,0.266519123,0.6334759
442,5.01E-05,0.475786064,0.639108667
443,0.000271937,0.045005176,0.641163921
444,0.000333126,0.084998743,0.644456196
445,2.60E-05,0.43074238,0.640212685
446,0.000239058,0.172493426,0.639486614
447,3.83E-06,0.387917185,0.639209878
448,0.000359113,0.386451102,0.639020336
449,0.00025534,0.376156,0.644802448
450,0.000124249,0.44257474,0.639168781
451,9.98E-06,0.425841988,0.642363879
452,5.52E-05,0.085735925,0.638508061
453,5.29E-05,0.326679803,0.639364979
454,2.35E-05,0.136843726,0.637018767
455,1.50E-06,0.277483041,0.634672099
456,6.34E-06,0.189277236,0.641016579
457,0.000366087,0.464081441,0.637403455
458,0.000194323,0.034810075,0.635351557
459,0.000774956,0.46988128,0.634932393
460,1.74E-06,0.092243813,0.637762037
461,8.26E-05,0.247259464,0.638180083
462,0.000472999,0.203987188,0.638373306
463,3.09E-06,0.135596719,0.638820755
464,4.42E-05,0.027143998,0.635726404
465,8.52E-06,0.480292327,0.636007619
466,0.000225154,0.14630903,0.639912462
467,0.000136806,0.312045766,0.635929057
468,2.68E-06,0.277904549,0.636630565
469,1.77E-06,0.358973192,0.635725641
470,2.28E-06,0.265045498,0.639780363
471,5.13E-05,0.094339243,0.639199162
472,4.64E-06,0.41577849,0.637226981
473,6.57E-06,0.14155006,0.639651996
474,8.10E-05,0.106127675,0.640075234
475,2.34E-06,0.348248372,0.633210459
476,1.67E-06,0.468433642,0.640162703
477,0.001494223,0.176512752,0.640433285
478,2.02E-06,0.015111301,0.639227596
479,0.000215247,0.118769054,0.637771803
480,0.000917741,0.145150519,0.641423702
481,3.48E-05,0.125875812,0.633733881
482,5.50E-06,0.100154899,0.642473519
483,0.000144348,0.040112808,0.63777265
484,1.23E-06,0.329888587,0.632630801
485,2.68E-05,0.303582939,0.642036366
486,0.000734968,0.10609321,0.640615097
487,5.24E-06,0.391541776,0.6398004
488,6.58E-05,0.359082244,0.639507651
489,9.73E-05,0.355188305,0.628907648
490,0.00015551,0.093837974,0.641397998
491,1.65E-05,0.280021442,0.636630973
492,2.71E-05,0.478685394,0.636426827
493,6.43E-06,0.068025714,0.639561591
494,0.000166567,0.446620332,0.638034612
495,2.02E-05,0.079779389,0.640488991
496,3.48E-05,0.161311483,0.640580255
497,0.000258847,0.247638962,0.639644203
498,6.78E-05,0.166178115,0.636961779
499,0.001363397,0.235222138,0.635656413
500,0.001522604,0.373582179,0.640707645
501,7.95E-06,0.121158018,0.63834545
502,0.000128777,0.235818001,0.639039794
503,8.28E-06,0.362908015,0.638127911
504,4.14E-05,0.110203474,0.63901248
505,3.81E-05,0.156901379,0.641934028
506,5.35E-05,0.234552455,0.639290613
507,0.000316579,0.197550629,0.639328796
508,2.59E-06,0.352856351,0.633515984
509,0.000493384,0.260249029,0.643964508
510,4.41E-06,0.325364685,0.634912512
511,2.94E-06,0.136050878,0.636660168
512,1.58E-05,0.484153321,0.633081374
513,1.67E-06,0.179003317,0.642729321
514,2.85E-06,0.18935243,0.639983669
515,6.65E-05,0.413013755,0.642630953
516,2.13E-05,0.15041984,0.638667193
517,3.67E-06,0.365304436,0.636823571
518,0.000199119,0.014004317,0.634944242
519,4.87E-05,0.161325272,0.639956036
520,1.44E-05,0.429997629,0.634495705
521,1.39E-06,0.460059256,0.635989287
522,7.19E-06,0.340324825,0.64143205
523,0.000136111,0.297394303,0.635057411
524,3.19E-06,0.344001116,0.637640756
525,3.81E-05,0.141581028,0.64048126
526,2.48E-06,0.211736085,0.641069901
527,1.49E-06,0.244446133,0.639725941
528,2.09E-06,0.097560587,0.638300911
529,3.25E-05,0.222045645,0.638910824
530,1.41E-05,0.136227995,0.642003801
531,4.91E-05,0.195054778,0.63676526
532,0.000403261,0.481993287,0.635369754
533,2.63E-06,0.415885952,0.636692864
534,1.21E-05,0.446429512,0.640370369
535,2.21E-06,0.090097422,0.636178359
536,5.67E-05,0.207707642,0.637436512
537,1.29E-06,0.210176559,0.633100748
538,5.00E-06,0.020123151,0.632111362
539,0.000143011,0.131144511,0.635958242
540,4.33E-05,0.317260559,0.635610381
541,5.19E-06,0.22828407,0.636699319
542,3.74E-06,0.309197163,0.638838202
543,4.87E-06,0.468256569,0.638279831
544,6.05E-06,0.037847084,0.636477086
545,2.78E-05,0.460772677,0.632824922
